batting_team,bowling_team,venue,target_score,current_score,overs_left,wickets_left,winner
Chennai Super Kings,Punjab Kings,Eden Gardens,206,101,0.3,10,0
Chennai Super Kings,Punjab Kings,MA Chidambaram Stadium,189,78,7.6,1,0
Sunrisers Hyderabad,Kolkata Knight Riders,Feroz Shah Kotla,125,18,10.9,3,0
Mumbai Indians,Royal Challengers Bangalore,Feroz Shah Kotla,143,45,9.7,9,1
Kolkata Knight Riders,Mumbai Indians,M. Chinnaswamy Stadium,170,7,5.1,10,0
Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadium,214,64,9.4,6,0
Punjab Kings,Rajasthan Royals,M. Chinnaswamy Stadium,202,170,5.6,4,1
Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,145,102,3.1,8,1
Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,204,157,17.2,2,1
Royal Challengers Bangalore,Punjab Kings,Eden Gardens,122,24,6.7,4,0
Delhi Capitals,Rajasthan Royals,Eden Gardens,135,48,1.4,7,0
Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,173,70,8.4,10,1
Delhi Capitals,Mumbai Indians,Eden Gardens,126,30,18.6,7,1
Punjab Kings,Delhi Capitals,M. Chinnaswamy Stadium,200,31,5.9,7,0
Royal Challengers Bangalore,Kolkata Knight Riders,Wankhede Stadium,142,108,5.3,10,1
Kolkata Knight Riders,Punjab Kings,Wankhede Stadium,167,89,6.6,5,0
Punjab Kings,Sunrisers Hyderabad,Eden Gardens,141,89,15.5,6,1
Kolkata Knight Riders,Chennai Super Kings,Feroz Shah Kotla,212,189,13.4,8,1
Royal Challengers Bangalore,Chennai Super Kings,Feroz Shah Kotla,121,54,0.6,9,0
Sunrisers Hyderabad,Rajasthan Royals,Eden Gardens,189,5,8.0,7,0
Kolkata Knight Riders,Rajasthan Royals,Feroz Shah Kotla,121,60,16.8,4,1
Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,176,20,18.8,10,1
Kolkata Knight Riders,Rajasthan Royals,Narendra Modi Stadium,204,187,14.7,6,1
Delhi Capitals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,155,89,14.1,1,0
Royal Challengers Bangalore,Sunrisers Hyderabad,MA Chidambaram Stadium,150,135,18.0,10,1
Sunrisers Hyderabad,Delhi Capitals,Eden Gardens,207,133,18.0,7,1
Chennai Super Kings,Rajasthan Royals,MA Chidambaram Stadium,148,91,4.6,6,0
Delhi Capitals,Punjab Kings,Eden Gardens,134,129,10.8,7,1
Punjab Kings,Royal Challengers Bangalore,Eden Gardens,130,89,17.0,3,1
Sunrisers Hyderabad,Rajasthan Royals,Wankhede Stadium,121,51,15.0,1,0
Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,152,97,13.6,3,1
Chennai Super Kings,Rajasthan Royals,Eden Gardens,207,202,2.5,7,1
Rajasthan Royals,Delhi Capitals,Wankhede Stadium,209,87,7.7,9,0
Punjab Kings,Mumbai Indians,Narendra Modi Stadium,121,92,8.5,3,1
Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,183,73,18.8,2,0
Mumbai Indians,Punjab Kings,MA Chidambaram Stadium,213,21,19.0,6,0
Kolkata Knight Riders,Sunrisers Hyderabad,M. Chinnaswamy Stadium,212,21,7.7,10,0
Rajasthan Royals,Punjab Kings,Feroz Shah Kotla,136,36,14.7,0,0
Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,201,150,13.4,2,1
Chennai Super Kings,Mumbai Indians,M. Chinnaswamy Stadium,129,64,5.3,2,0
Delhi Capitals,Kolkata Knight Riders,Feroz Shah Kotla,168,78,9.7,8,1
Delhi Capitals,Punjab Kings,MA Chidambaram Stadium,139,95,9.7,10,1
Punjab Kings,Kolkata Knight Riders,Narendra Modi Stadium,164,2,4.2,2,0
Mumbai Indians,Sunrisers Hyderabad,Feroz Shah Kotla,165,91,9.6,0,0
Royal Challengers Bangalore,Delhi Capitals,M. Chinnaswamy Stadium,139,74,8.3,3,0
Sunrisers Hyderabad,Rajasthan Royals,M. Chinnaswamy Stadium,189,89,12.1,10,1
Royal Challengers Bangalore,Mumbai Indians,M. Chinnaswamy Stadium,121,14,17.6,1,0
Mumbai Indians,Royal Challengers Bangalore,M. Chinnaswamy Stadium,190,133,4.8,1,0
Mumbai Indians,Royal Challengers Bangalore,MA Chidambaram Stadium,176,116,1.1,5,0
Chennai Super Kings,Kolkata Knight Riders,Narendra Modi Stadium,217,185,10.8,4,1
Rajasthan Royals,Delhi Capitals,Eden Gardens,166,106,1.1,8,0
Chennai Super Kings,Kolkata Knight Riders,Feroz Shah Kotla,143,129,8.2,2,1
Mumbai Indians,Delhi Capitals,M. Chinnaswamy Stadium,171,139,2.2,5,0
Royal Challengers Bangalore,Sunrisers Hyderabad,M. Chinnaswamy Stadium,191,128,4.8,7,0
Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,190,18,0.8,6,0
Punjab Kings,Mumbai Indians,M. Chinnaswamy Stadium,135,106,16.0,7,1
Chennai Super Kings,Rajasthan Royals,Narendra Modi Stadium,206,123,1.6,7,0
Royal Challengers Bangalore,Punjab Kings,Feroz Shah Kotla,169,72,4.1,4,0
Kolkata Knight Riders,Royal Challengers Bangalore,MA Chidambaram Stadium,179,22,9.3,5,0
Kolkata Knight Riders,Royal Challengers Bangalore,Narendra Modi Stadium,192,59,4.3,6,0
Royal Challengers Bangalore,Rajasthan Royals,Feroz Shah Kotla,218,57,12.0,9,0
Delhi Capitals,Mumbai Indians,MA Chidambaram Stadium,158,87,4.3,8,0
Rajasthan Royals,Chennai Super Kings,M. Chinnaswamy Stadium,208,129,6.5,2,0
Royal Challengers Bangalore,Mumbai Indians,Eden Gardens,171,170,10.5,10,1
Delhi Capitals,Sunrisers Hyderabad,Feroz Shah Kotla,151,5,16.5,3,0
Mumbai Indians,Royal Challengers Bangalore,Eden Gardens,161,136,12.7,4,1
Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,146,4,19.7,9,0
Rajasthan Royals,Royal Challengers Bangalore,Eden Gardens,215,86,1.1,6,0
Chennai Super Kings,Mumbai Indians,Eden Gardens,139,113,16.3,1,1
Chennai Super Kings,Mumbai Indians,Narendra Modi Stadium,165,86,7.6,10,1
Royal Challengers Bangalore,Mumbai Indians,M. Chinnaswamy Stadium,136,116,16.6,4,1
Chennai Super Kings,Rajasthan Royals,Narendra Modi Stadium,209,164,16.5,8,1
Mumbai Indians,Punjab Kings,MA Chidambaram Stadium,125,60,7.2,4,0
Sunrisers Hyderabad,Chennai Super Kings,M. Chinnaswamy Stadium,153,20,2.7,5,0
Rajasthan Royals,Mumbai Indians,M. Chinnaswamy Stadium,141,57,18.0,10,1
Chennai Super Kings,Delhi Capitals,Feroz Shah Kotla,201,6,11.1,10,0
Kolkata Knight Riders,Royal Challengers Bangalore,MA Chidambaram Stadium,201,123,3.7,5,0
Rajasthan Royals,Sunrisers Hyderabad,MA Chidambaram Stadium,159,93,5.0,9,1
Mumbai Indians,Delhi Capitals,M. Chinnaswamy Stadium,185,68,6.6,9,0
Mumbai Indians,Sunrisers Hyderabad,MA Chidambaram Stadium,203,177,8.6,6,1
Punjab Kings,Chennai Super Kings,Wankhede Stadium,206,49,10.7,9,0
Punjab Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,120,116,5.1,2,1
Kolkata Knight Riders,Punjab Kings,MA Chidambaram Stadium,129,117,11.5,2,1
Royal Challengers Bangalore,Chennai Super Kings,MA Chidambaram Stadium,217,168,3.0,6,0
Mumbai Indians,Punjab Kings,Wankhede Stadium,145,103,0.2,9,0
Sunrisers Hyderabad,Punjab Kings,MA Chidambaram Stadium,193,179,9.4,6,1
Kolkata Knight Riders,Sunrisers Hyderabad,Narendra Modi Stadium,171,144,14.7,9,1
Sunrisers Hyderabad,Punjab Kings,M. Chinnaswamy Stadium,209,39,8.0,2,0
Punjab Kings,Royal Challengers Bangalore,Narendra Modi Stadium,128,89,15.6,0,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Feroz Shah Kotla,186,22,1.4,9,0
Royal Challengers Bangalore,Kolkata Knight Riders,M. Chinnaswamy Stadium,206,126,18.3,0,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Eden Gardens,165,55,7.0,5,0
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,157,136,18.6,6,1
Punjab Kings,Mumbai Indians,Narendra Modi Stadium,131,12,3.4,8,0
Royal Challengers Bangalore,Sunrisers Hyderabad,MA Chidambaram Stadium,186,63,12.2,7,0
Rajasthan Royals,Kolkata Knight Riders,Wankhede Stadium,195,135,3.5,8,0
Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,152,31,19.1,5,0
Chennai Super Kings,Punjab Kings,Narendra Modi Stadium,142,100,18.1,2,1
Mumbai Indians,Kolkata Knight Riders,M. Chinnaswamy Stadium,123,88,1.1,7,0
Punjab Kings,Kolkata Knight Riders,M. Chinnaswamy Stadium,135,96,16.4,0,1
Chennai Super Kings,Delhi Capitals,Feroz Shah Kotla,158,108,10.8,8,1
Rajasthan Royals,Kolkata Knight Riders,MA Chidambaram Stadium,145,38,4.4,5,0
Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,177,140,16.3,2,1
Chennai Super Kings,Rajasthan Royals,Eden Gardens,138,12,4.8,7,0
Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium,201,131,8.9,8,1
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,164,110,1.1,1,0
Punjab Kings,Kolkata Knight Riders,Feroz Shah Kotla,202,179,12.3,2,1
Sunrisers Hyderabad,Punjab Kings,MA Chidambaram Stadium,133,129,4.8,2,1
Chennai Super Kings,Royal Challengers Bangalore,Narendra Modi Stadium,141,45,4.5,4,0
Rajasthan Royals,Delhi Capitals,MA Chidambaram Stadium,167,80,19.6,0,0
Rajasthan Royals,Delhi Capitals,Narendra Modi Stadium,149,33,18.0,4,0
Chennai Super Kings,Sunrisers Hyderabad,Narendra Modi Stadium,137,24,4.7,3,0
Chennai Super Kings,Royal Challengers Bangalore,Narendra Modi Stadium,142,119,0.7,6,0
Chennai Super Kings,Rajasthan Royals,M. Chinnaswamy Stadium,213,27,17.9,7,0
Royal Challengers Bangalore,Chennai Super Kings,Feroz Shah Kotla,139,32,18.6,6,0
Mumbai Indians,Kolkata Knight Riders,Eden Gardens,126,24,0.4,3,0
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,202,185,9.3,9,1
Kolkata Knight Riders,Chennai Super Kings,Narendra Modi Stadium,122,106,16.3,1,1
Mumbai Indians,Royal Challengers Bangalore,Narendra Modi Stadium,190,142,13.9,1,1
Punjab Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,151,24,13.9,8,0
Chennai Super Kings,Rajasthan Royals,MA Chidambaram Stadium,184,159,0.6,4,0
Royal Challengers Bangalore,Chennai Super Kings,Narendra Modi Stadium,168,146,8.5,1,1
Chennai Super Kings,Delhi Capitals,Eden Gardens,184,69,2.6,8,0
Mumbai Indians,Punjab Kings,Eden Gardens,143,43,4.2,5,0
Delhi Capitals,Royal Challengers Bangalore,MA Chidambaram Stadium,178,84,5.3,8,0
Mumbai Indians,Punjab Kings,Eden Gardens,195,59,15.9,8,1
Mumbai Indians,Rajasthan Royals,Eden Gardens,185,36,1.5,6,0
Delhi Capitals,Mumbai Indians,Wankhede Stadium,184,142,8.9,10,1
Mumbai Indians,Chennai Super Kings,Narendra Modi Stadium,139,80,7.3,2,0
Sunrisers Hyderabad,Kolkata Knight Riders,Feroz Shah Kotla,141,110,4.3,6,1
Sunrisers Hyderabad,Mumbai Indians,Feroz Shah Kotla,128,10,18.2,1,0
Sunrisers Hyderabad,Mumbai Indians,MA Chidambaram Stadium,176,34,16.0,3,0
Sunrisers Hyderabad,Mumbai Indians,Narendra Modi Stadium,171,137,19.2,9,1
Chennai Super Kings,Kolkata Knight Riders,Narendra Modi Stadium,201,126,1.4,8,0
Punjab Kings,Delhi Capitals,MA Chidambaram Stadium,143,114,19.2,7,1
Punjab Kings,Royal Challengers Bangalore,Narendra Modi Stadium,152,125,18.3,1,1
Mumbai Indians,Punjab Kings,Eden Gardens,128,36,7.4,3,0
Mumbai Indians,Rajasthan Royals,MA Chidambaram Stadium,167,97,4.4,2,0
Rajasthan Royals,Delhi Capitals,Wankhede Stadium,194,106,2.5,8,0
Sunrisers Hyderabad,Kolkata Knight Riders,Narendra Modi Stadium,159,35,19.7,2,0
Kolkata Knight Riders,Royal Challengers Bangalore,Feroz Shah Kotla,201,20,17.9,8,0
Sunrisers Hyderabad,Kolkata Knight Riders,M. Chinnaswamy Stadium,138,81,11.9,6,1
Punjab Kings,Chennai Super Kings,Narendra Modi Stadium,191,25,19.9,2,0
Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,186,100,12.7,2,0
Kolkata Knight Riders,Punjab Kings,Eden Gardens,126,108,7.6,3,1
Punjab Kings,Mumbai Indians,Eden Gardens,172,101,7.9,0,0
Chennai Super Kings,Sunrisers Hyderabad,Narendra Modi Stadium,168,72,8.6,6,0
Mumbai Indians,Sunrisers Hyderabad,Eden Gardens,184,108,5.5,8,0
Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,147,65,14.9,7,1
Delhi Capitals,Kolkata Knight Riders,M. Chinnaswamy Stadium,171,92,12.3,6,1
Chennai Super Kings,Rajasthan Royals,Eden Gardens,219,212,13.6,7,1
Sunrisers Hyderabad,Punjab Kings,Eden Gardens,129,52,8.3,7,0
Mumbai Indians,Rajasthan Royals,M. Chinnaswamy Stadium,200,147,10.3,1,0
Punjab Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,220,205,13.9,7,1
Sunrisers Hyderabad,Mumbai Indians,M. Chinnaswamy Stadium,170,145,15.8,1,1
Mumbai Indians,Chennai Super Kings,Feroz Shah Kotla,159,96,13.2,10,1
